Key,Source,Context,English
uberSkillsCatRangedMasteries,progression,Extra Skills,Ranged Mastery
uberSkillsCatRangedMasteriesDesc,progression,Extra Skills,Ranged weapon users will love these perks!
uberSkillsCatLuck,progression,Extra Skills,Luck
uberSkillsCatLuckDesc,progression,Extra Skills,"Be better at survival in mysteries ways, the luck of the gods is with you using these perks!"

uberSkillsAcrobaticsName,progression,Skill,Acrobatics
uberSkillsAcrobaticsDesc,progression,Skill,You're pretty agile and learned how to avoid injuries from falling.
uberSkillsAcrobatics1Short,progression,Skill,+1m Safe Fall Distance
uberSkillsAcrobatics2Short,progression,Skill,+2m Safe Fall Distance
uberSkillsAcrobatics3Short,progression,Skill,+3m Safe Fall Distance
uberSkillsAcrobatics4Short,progression,Skill,+4m Safe Fall Distance
uberSkillsAcrobatics5Short,progression,Skill,+5m Safe Fall Distance
uberSkillsAcrobatics1Long,progression,Skill,Increase your safe fall distance by 1m.
uberSkillsAcrobatics2Long,progression,Skill,Increase your safe fall distance by 2m.
uberSkillsAcrobatics3Long,progression,Skill,Increase your safe fall distance by 3m.
uberSkillsAcrobatics4Long,progression,Skill,Increase your safe fall distance by 4m.
uberSkillsAcrobatics5Long,progression,Skill,Increase your safe fall distance by 5m.

uberSkillsHeatName,progression,Skill,Heat Synergy
uberSkillsHeatDesc,progression,Skill,"You've lived in the desert for a long time, and thus heat has less effects on you."
uberSkillsHeat1Short,progression,Skill,+5 Heat Resistance
uberSkillsHeat2Short,progression,Skill,+9 Heat Resistance
uberSkillsHeat3Short,progression,Skill,+12 Heat Resistance
uberSkillsHeat4Short,progression,Skill,+14 Heat Resistance
uberSkillsHeat5Short,progression,Skill,+15 Heat Resistance
uberSkillsHeat1Long,progression,Skill,Increase your resistance against heat by 5
uberSkillsHeat2Long,progression,Skill,Increase your resistance against heat by 9
uberSkillsHeat3Long,progression,Skill,Increase your resistance against heat by 12
uberSkillsHeat4Long,progression,Skill,Increase your resistance against heat by 14
uberSkillsHeat5Long,progression,Skill,Increase your resistance against heat by 15

uberSkillsColdName,progression,Skill,Cold Synergy
uberSkillsColdDesc,progression,Skill,"You've lived in the frosty mountains for a long time, and thus cold has less effects on you."
uberSkillsCold1Short,progression,Skill,+5 Cold Resistance
uberSkillsCold2Short,progression,Skill,+9 Cold Resistance
uberSkillsCold3Short,progression,Skill,+12 Cold Resistance
uberSkillsCold4Short,progression,Skill,+14 Cold Resistance
uberSkillsCold5Short,progression,Skill,+15 Cold Resistance
uberSkillsCold1Long,progression,Skill,Increase your resistance against cold by 5
uberSkillsCold2Long,progression,Skill,Increase your resistance against cold by 9
uberSkillsCold3Long,progression,Skill,Increase your resistance against cold by 12
uberSkillsCold4Long,progression,Skill,Increase your resistance against cold by 14
uberSkillsCold5Long,progression,Skill,Increase your resistance against cold by 15

HealingArtsName,progression,Skill,Healing Arts
HealingArtsDesc,progression,Skill,You've learned how to properly treat wounds and increase the effectivity of your attempts. (additive bonus)
HealingArtsRank1Desc,progression,Skill,+25% Medical Healing
HealingArtsRank2Desc,progression,Skill,+45% Medical Healing
HealingArtsRank3Desc,progression,Skill,+60% Medical Healing
HealingArtsRank4Desc,progression,Skill,+70% Medical Healing
HealingArtsRank5Desc,progression,Skill,+75% Medical Healing
HealingArtsRank1LongDesc,progression,Skill,Increase the healing efficiency of medical items by 25%.
HealingArtsRank2LongDesc,progression,Skill,Increase the healing efficiency of medical items by 45%.
HealingArtsRank3LongDesc,progression,Skill,Increase the healing efficiency of medical items by 60%.
HealingArtsRank4LongDesc,progression,Skill,Increase the healing efficiency of medical items by 70%.
HealingArtsRank5LongDesc,progression,Skill,Increase the healing efficiency of medical items by 75%.

ArmorSpecialistName,progression,Skill,Armor Specialist
ArmorSpecialistDesc,progression,Skill,"Your armor feels like a second skin and thus is even more durable now. Once warn enough you'll nullify all damage to armor! (In addition to the corresponding armor perk, the last rank will nullify all damage to armor)."
ArmorSpecialistRank1Desc,progression,Skill,-12% Armor Wearout
ArmorSpecialistRank2Desc,progression,Skill,-20% Armor Wearout
ArmorSpecialistRank3Desc,progression,Skill,-26% Armor Wearout
ArmorSpecialistRank4Desc,progression,Skill,-31% Armor Wearout
ArmorSpecialistRank5Desc,progression,Skill,-34% Armor Wearout
ArmorSpecialistRank1LongDesc,progression,Skill,Decrease the wearout of your armor by an additional 12%
ArmorSpecialistRank2LongDesc,progression,Skill,Decrease the wearout of your armor by an additional 20%
ArmorSpecialistRank3LongDesc,progression,Skill,Decrease the wearout of your armor by an additional 26%
ArmorSpecialistRank4LongDesc,progression,Skill,Decrease the wearout of your armor by an additional 31%
ArmorSpecialistRank5LongDesc,progression,Skill,Decrease the wearout of your armor by an additional 34%

WeaponSpecialistName,progression,Skill,Weapon Specialist
WeaponSpecialistDesc,progression,Skill,You have become more proficient at maintaining weapons. As a result they are more durable.
WeaponSpecialistRank1Desc,progression,Skill,-20% Weapon Wearout
WeaponSpecialistRank2Desc,progression,Skill,-31% Weapon Wearout
WeaponSpecialistRank3Desc,progression,Skill,-39% Weapon Wearout
WeaponSpecialistRank4Desc,progression,Skill,-45% Weapon Wearout
WeaponSpecialistRank5Desc,progression,Skill,-50% Weapon Wearout
WeaponSpecialistRank1LongDesc,progression,Skill,Decrease the wearout of your weapon by an additional 20%
WeaponSpecialistRank2LongDesc,progression,Skill,Decrease the wearout of your weapon by an additional 31%
WeaponSpecialistRank3LongDesc,progression,Skill,Decrease the wearout of your weapon by an additional 39%
WeaponSpecialistRank4LongDesc,progression,Skill,Decrease the wearout of your weapon by an additional 45%
WeaponSpecialistRank5LongDesc,progression,Skill,Decrease the wearout of your weapon by an additional 50%

AttackSpeedName,progression,Skill,Attack Speed
AttackSpeedDesc,progression,Skill,All those blows you've dealt evolved into a daily routine. Now you're able to attack even faster.
AttackSpeedRank1Desc,progression,Skill,+10% Melee Haste
AttackSpeedRank2Desc,progression,Skill,+16% Melee Haste
AttackSpeedRank3Desc,progression,Skill,+20% Melee Haste
AttackSpeedRank4Desc,progression,Skill,+23% Melee Haste
AttackSpeedRank5Desc,progression,Skill,+25% Melee Haste
AttackSpeedRank1LongDesc,progression,Skill,Increase your Attack Speed with melee tools and weapons by 10%
AttackSpeedRank2LongDesc,progression,Skill,Increase your Attack Speed with melee tools and weapons by 16%
AttackSpeedRank3LongDesc,progression,Skill,Increase your Attack Speed with melee tools and weapons by 20%
AttackSpeedRank4LongDesc,progression,Skill,Increase your Attack Speed with melee tools and weapons by 23%
AttackSpeedRank5LongDesc,progression,Skill,Increase your Attack Speed with melee tools and weapons by 25%

MeleeDamageName,progression,Skill,Melee Damage
MeleeDamageDesc,progression,Skill,Deal more melee damage.
MeleeDamageRank1Desc,progression,Skill,+10% Melee Damage
MeleeDamageRank2Desc,progression,Skill,+16% Melee Damage
MeleeDamageRank3Desc,progression,Skill,+20% Melee Damage
MeleeDamageRank4Desc,progression,Skill,+23% Melee Damage
MeleeDamageRank5Desc,progression,Skill,+25% Melee Damage
MeleeDamageRank1LongDesc,progression,Skill,Increase your Melee Damage by 10%
MeleeDamageRank2LongDesc,progression,Skill,Increase your Melee Damage by 16%
MeleeDamageRank3LongDesc,progression,Skill,Increase your Melee Damage by 20%
MeleeDamageRank4LongDesc,progression,Skill,Increase your Melee Damage by 23%
MeleeDamageRank5LongDesc,progression,Skill,Increase your Melee Damage by 25%

WeaponRangeName,progression,Skill,Weapon Range
WeaponRangeDesc,progression,Skill,Increase the effective shot range of all ranged weapons.
WeaponRangeRank1Desc,progression,Skill,+10% Range
WeaponRangeRank2Desc,progression,Skill,+16% Range
WeaponRangeRank3Desc,progression,Skill,+20% Range
WeaponRangeRank4Desc,progression,Skill,+23% Range
WeaponRangeRank5Desc,progression,Skill,+25% Range
WeaponRangeRank1LongDesc,progression,Skill,Shoot 10% farther before the damage of your weapons starts to fall off.
WeaponRangeRank2LongDesc,progression,Skill,Shoot 16% farther before the damage of your weapons starts to fall off.
WeaponRangeRank3LongDesc,progression,Skill,Shoot 20% farther before the damage of your weapons starts to fall off.
WeaponRangeRank4LongDesc,progression,Skill,Shoot 23% farther before the damage of your weapons starts to fall off.
WeaponRangeRank5LongDesc,progression,Skill,Shoot 25% farther before the damage of your weapons starts to fall off.

FireRateName,progression,Skill,Fire Rate
FireRateDesc,progression,Skill,Increase your fire rate.
FireRateRank1Desc,progression,Skill,+10% Fire Rate
FireRateRank2Desc,progression,Skill,+16% Fire Rate
FireRateRank3Desc,progression,Skill,+20% Fire Rate
FireRateRank4Desc,progression,Skill,+23% Fire Rate
FireRateRank5Desc,progression,Skill,+25% Fire Rate
FireRateRank1LongDesc,progression,Skill,Increase your Fire Rate by 10%
FireRateRank2LongDesc,progression,Skill,Increase your Fire Rate by 16%
FireRateRank3LongDesc,progression,Skill,Increase your Fire Rate by 20%
FireRateRank4LongDesc,progression,Skill,Increase your Fire Rate by 23%
FireRateRank5LongDesc,progression,Skill,Increase your Fire Rate by 25%

WeaponHandlingName,progression,Skill,Weapon Handling
WeaponHandlingDesc,progression,Skill,Increase your weapon handling
WeaponHandlingRank1Desc,progression,Skill,+10% Weapon Handling
WeaponHandlingRank2Desc,progression,Skill,+16% Weapon Handling
WeaponHandlingRank3Desc,progression,Skill,+20% Weapon Handling
WeaponHandlingRank4Desc,progression,Skill,+23% Weapon Handling
WeaponHandlingRank5Desc,progression,Skill,+25% Weapon Handling
WeaponHandlingRank1LongDesc,progression,Skill,Increase your weapon handling by 10%
WeaponHandlingRank2LongDesc,progression,Skill,Increase your weapon handling by 16%
WeaponHandlingRank3LongDesc,progression,Skill,Increase your weapon handling by 20%
WeaponHandlingRank4LongDesc,progression,Skill,Increase your weapon handling by 23%
WeaponHandlingRank5LongDesc,progression,Skill,Increase your weapon handling by 25%

LargerMagazinesName,progression,Skill,Larger Magazines
LargerMagazinesDesc,progression,Skill,Increase your clip size.
LargerMagazinesRank1Desc,progression,Skill,+10% Larger Magazines
LargerMagazinesRank2Desc,progression,Skill,+16% Larger Magazines
LargerMagazinesRank3Desc,progression,Skill,+20% Larger Magazines
LargerMagazinesRank4Desc,progression,Skill,+23% Larger Magazines
LargerMagazinesRank5Desc,progression,Skill,+25% Larger Magazines
LargerMagazinesRank1LongDesc,progression,Skill,Increase your Magazine Size by 10%
LargerMagazinesRank2LongDesc,progression,Skill,Increase your Magazine Size by 16%
LargerMagazinesRank3LongDesc,progression,Skill,Increase your Magazine Size by 20%
LargerMagazinesRank4LongDesc,progression,Skill,Increase your Magazine Size by 23%
LargerMagazinesRank5LongDesc,progression,Skill,Increase your Magazine Size by 25%

ReloadSpeedName,progression,Skill,Reload Speed
ReloadSpeedDesc,progression,Skill,All this reloading earned you some nimble fingers. Reload even faster now.
ReloadSpeedRank1Desc,progression,Skill,+10% Reload Speed
ReloadSpeedRank2Desc,progression,Skill,+16% Reload Speed
ReloadSpeedRank3Desc,progression,Skill,+20% Reload Speed
ReloadSpeedRank4Desc,progression,Skill,+23% Reload Speed
ReloadSpeedRank5Desc,progression,Skill,+25% Reload Speed
ReloadSpeedRank1LongDesc,progression,Skill,Increase your reload speed by 10%
ReloadSpeedRank2LongDesc,progression,Skill,Increase your reload speed by 16%
ReloadSpeedRank3LongDesc,progression,Skill,Increase your reload speed by 20%
ReloadSpeedRank4LongDesc,progression,Skill,Increase your reload speed by 23%
ReloadSpeedRank5LongDesc,progression,Skill,Increase your reload speed by 25%

RangedDamageName,progression,Skill,Ranged Damage
RangedDamageDesc,progression,Skill,Deal more ranged damage.
RangedDamageRank1Desc,progression,Skill,+10% Ranged Damage
RangedDamageRank2Desc,progression,Skill,+16% Ranged Damage
RangedDamageRank3Desc,progression,Skill,+20% Ranged Damage
RangedDamageRank4Desc,progression,Skill,+23% Ranged Damage
RangedDamageRank5Desc,progression,Skill,+25% Ranged Damage
RangedDamageRank1LongDesc,progression,Skill,Increase your Ranged Damage by 10%
RangedDamageRank2LongDesc,progression,Skill,Increase your Ranged Damage by 16%
RangedDamageRank3LongDesc,progression,Skill,Increase your Ranged Damage by 20%
RangedDamageRank4LongDesc,progression,Skill,Increase your Ranged Damage by 23%
RangedDamageRank5LongDesc,progression,Skill,Increase your Ranged Damage by 25%

MaximumHealthName,progression,Skill,Maximum Health
MaximumHealthDesc,progression,Skill,Increase your hardiness and thus your maximum health.
MaximumHealthRank1Desc,progression,Skill,+6 Maximum Health
MaximumHealthRank2Desc,progression,Skill,+12 Maximum Health
MaximumHealthRank3Desc,progression,Skill,+18 Maximum Health
MaximumHealthRank4Desc,progression,Skill,+24 Maximum Health
MaximumHealthRank5Desc,progression,Skill,+30 Maximum Health
MaximumHealthRank6Desc,progression,Skill,+34 Maximum Health
MaximumHealthRank7Desc,progression,Skill,+38 Maximum Health
MaximumHealthRank8Desc,progression,Skill,+42 Maximum Health
MaximumHealthRank9Desc,progression,Skill,+46 Maximum Health
MaximumHealthRank10Desc,progression,Skill,+50 Maximum Health
MaximumHealthRank1LongDesc,progression,Skill,Increase your maximum health by 6
MaximumHealthRank2LongDesc,progression,Skill,Increase your maximum health by 12
MaximumHealthRank3LongDesc,progression,Skill,Increase your maximum health by 18
MaximumHealthRank4LongDesc,progression,Skill,Increase your maximum health by 24
MaximumHealthRank5LongDesc,progression,Skill,Increase your maximum health by 30
MaximumHealthRank6LongDesc,progression,Skill,Increase your maximum health by 34
MaximumHealthRank7LongDesc,progression,Skill,Increase your maximum health by 38
MaximumHealthRank8LongDesc,progression,Skill,Increase your maximum health by 42
MaximumHealthRank9LongDesc,progression,Skill,Increase your maximum health by 46
MaximumHealthRank10LongDesc,progression,Skill,Increase your maximum health by 50

MaximumStaminaName,progression,Skill,Maximum Stamina
MaximumStaminaDesc,progression,Skill,Increase your endurance and thus your maximum stamina.
MaximumStaminaRank1Desc,progression,Skill,+6 Maximum Stamina
MaximumStaminaRank2Desc,progression,Skill,+12 Maximum Stamina
MaximumStaminaRank3Desc,progression,Skill,+18 Maximum Stamina
MaximumStaminaRank4Desc,progression,Skill,+24 Maximum Stamina
MaximumStaminaRank5Desc,progression,Skill,+30 Maximum Stamina
MaximumStaminaRank6Desc,progression,Skill,+34 Maximum Stamina
MaximumStaminaRank7Desc,progression,Skill,+38 Maximum Stamina
MaximumStaminaRank8Desc,progression,Skill,+42 Maximum Stamina
MaximumStaminaRank9Desc,progression,Skill,+46 Maximum Stamina
MaximumStaminaRank10Desc,progression,Skill,+50 Maximum Stamina
MaximumStaminaRank1LongDesc,progression,Skill,Increase your maximum Stamina by 6
MaximumStaminaRank2LongDesc,progression,Skill,Increase your maximum Stamina by 12
MaximumStaminaRank3LongDesc,progression,Skill,Increase your maximum Stamina by 18
MaximumStaminaRank4LongDesc,progression,Skill,Increase your maximum Stamina by 24
MaximumStaminaRank5LongDesc,progression,Skill,Increase your maximum Stamina by 30
MaximumStaminaRank6LongDesc,progression,Skill,Increase your maximum Stamina by 34
MaximumStaminaRank7LongDesc,progression,Skill,Increase your maximum Stamina by 38
MaximumStaminaRank8LongDesc,progression,Skill,Increase your maximum Stamina by 42
MaximumStaminaRank9LongDesc,progression,Skill,Increase your maximum Stamina by 46
MaximumStaminaRank10LongDesc,progression,Skill,Increase your maximum Stamina by 50


DamageResistanceName,progression,Skill,Damage Resistance
DamageResistanceDesc,progression,Skill,Increase your hardiness and thus your resistance to damage.
DamageResistanceRank1Desc,progression,Skill,+2.4% Damage Resistance
DamageResistanceRank2Desc,progression,Skill,+4.8% Damage Resistance
DamageResistanceRank3Desc,progression,Skill,+7.2% Damage Resistance
DamageResistanceRank4Desc,progression,Skill,+9.6% Damage Resistance
DamageResistanceRank5Desc,progression,Skill,+12% Damage Resistance
DamageResistanceRank6Desc,progression,Skill,+13.6% Damage Resistance
DamageResistanceRank7Desc,progression,Skill,+15.2% Damage Resistance
DamageResistanceRank8Desc,progression,Skill,+16.8% Damage Resistance
DamageResistanceRank9Desc,progression,Skill,+18.4% Damage Resistance
DamageResistanceRank10Desc,progression,Skill,+20% Damage Resistance
DamageResistanceRank1LongDesc,progression,Skill,Increase your Damage Resistance by 2.4%.
DamageResistanceRank2LongDesc,progression,Skill,Increase your Damage Resistance by 4.8%.
DamageResistanceRank3LongDesc,progression,Skill,Increase your Damage Resistance by 7.2%.
DamageResistanceRank4LongDesc,progression,Skill,Increase your Damage Resistance by 9.6%.
DamageResistanceRank5LongDesc,progression,Skill,Increase your Damage Resistance by 12%.
DamageResistanceRank6LongDesc,progression,Skill,Increase your Damage Resistance by 13.6%.
DamageResistanceRank7LongDesc,progression,Skill,Increase your Damage Resistance by 15.2%.
DamageResistanceRank8LongDesc,progression,Skill,Increase your Damage Resistance by 16.8%.
DamageResistanceRank9LongDesc,progression,Skill,Increase your Damage Resistance by 18.4%.
DamageResistanceRank10LongDesc,progression,Skill,Increase your Damage Resistance by 20%.

VigorName,progression,Skill,Vigor
VigorDesc,progression,Skill,Swinging stuff around the whole time accustomed you to them so now it's less exerting. Lose less Stamina per melee swing.
VigorRank1Desc,progression,Skill,-3% Stamina Loss
VigorRank2Desc,progression,Skill,-6% Stamina Loss
VigorRank3Desc,progression,Skill,-9% Stamina Loss
VigorRank4Desc,progression,Skill,-12% Stamina Loss
VigorRank5Desc,progression,Skill,-15% Stamina Loss
VigorRank6Desc,progression,Skill,-17% Stamina Loss
VigorRank7Desc,progression,Skill,-19% Stamina Loss
VigorRank8Desc,progression,Skill,-21% Stamina Loss
VigorRank9Desc,progression,Skill,-23% Stamina Loss
VigorRank10Desc,progression,Skill,-25% Stamina Loss
VigorRank1LongDesc,progression,Skill,Lose 3% less stamina while swinging melee tools and weapons
VigorRank2LongDesc,progression,Skill,Lose 6% less stamina while swinging melee tools and weapons
VigorRank3LongDesc,progression,Skill,Lose 9% less stamina while swinging melee tools and weapons
VigorRank4LongDesc,progression,Skill,Lose 12% less stamina while swinging melee tools and weapons
VigorRank5LongDesc,progression,Skill,Lose 15% less stamina while swinging melee tools and weapons
VigorRank6LongDesc,progression,Skill,Lose 17% less stamina while swinging melee tools and weapons
VigorRank7LongDesc,progression,Skill,Lose 19% less stamina while swinging melee tools and weapons
VigorRank8LongDesc,progression,Skill,Lose 21% less stamina while swinging melee tools and weapons
VigorRank9LongDesc,progression,Skill,Lose 23% less stamina while swinging melee tools and weapons
VigorRank10LongDesc,progression,Skill,Lose 25% less stamina while swinging melee tools and weapons

ConstancyName,progression,Skill,Constancy
ConstancyDesc,progression,Skill,All this cardio workout increased your endurance vastly. Regenerate more stamina at all times.
ConstancyRank1Desc,progression,Skill,+3% Stamina Regeneration
ConstancyRank2Desc,progression,Skill,+6% Stamina Regeneration
ConstancyRank3Desc,progression,Skill,+9% Stamina Regeneration
ConstancyRank4Desc,progression,Skill,+12% Stamina Regeneration
ConstancyRank5Desc,progression,Skill,+15% Stamina Regeneration
ConstancyRank6Desc,progression,Skill,+17% Stamina Regeneration
ConstancyRank7Desc,progression,Skill,+19% Stamina Regeneration
ConstancyRank8Desc,progression,Skill,+21% Stamina Regeneration
ConstancyRank9Desc,progression,Skill,+23% Stamina Regeneration
ConstancyRank10Desc,progression,Skill,+25% Stamina Regeneration
ConstancyRank1LongDesc,progression,Skill,Regenerate 3% more stamina at all times
ConstancyRank2LongDesc,progression,Skill,Regenerate 6% more stamina at all times
ConstancyRank3LongDesc,progression,Skill,Regenerate 9% more stamina at all times
ConstancyRank4LongDesc,progression,Skill,Regenerate 12% more stamina at all times
ConstancyRank5LongDesc,progression,Skill,Regenerate 15% more stamina at all times
ConstancyRank6LongDesc,progression,Skill,Regenerate 17% more stamina at all times
ConstancyRank7LongDesc,progression,Skill,Regenerate 19% more stamina at all times
ConstancyRank8LongDesc,progression,Skill,Regenerate 21% more stamina at all times
ConstancyRank9LongDesc,progression,Skill,Regenerate 23% more stamina at all times
ConstancyRank10LongDesc,progression,Skill,Regenerate 25% more stamina at all times

RecuperateName,progression,Skill,Recuperate
RecuperateDesc,progression,Skill,You've got a very healthy body and can regenerate even faster than other people.
RecuperateRank1Desc,progression,Skill,+0.03 Health Regeneration/sec.
RecuperateRank2Desc,progression,Skill,+0.06 Health Regeneration/sec.
RecuperateRank3Desc,progression,Skill,+0.09 Health Regeneration/sec.
RecuperateRank4Desc,progression,Skill,+0.12 Health Regeneration/sec.
RecuperateRank5Desc,progression,Skill,+0.15 Health Regeneration/sec.
RecuperateRank6Desc,progression,Skill,+0.17 Health Regeneration/sec.
RecuperateRank7Desc,progression,Skill,+0.19 Health Regeneration/sec.
RecuperateRank8Desc,progression,Skill,+0.21 Health Regeneration/sec.
RecuperateRank9Desc,progression,Skill,+0.23 Health Regeneration/sec.
RecuperateRank10Desc,progression,Skill,+0.25 Health Regeneration/sec.
RecuperateRank1LongDesc,progression,Skill,Regenerate an additional 0.03 health per second at all times
RecuperateRank2LongDesc,progression,Skill,Regenerate an additional 0.06 health per second at all times
RecuperateRank3LongDesc,progression,Skill,Regenerate an additional 0.09 health per second at all times
RecuperateRank4LongDesc,progression,Skill,Regenerate an additional 0.12 health per second at all times
RecuperateRank5LongDesc,progression,Skill,Regenerate an additional 0.15 health per second at all times
RecuperateRank6LongDesc,progression,Skill,Regenerate an additional 0.17 health per second at all times
RecuperateRank7LongDesc,progression,Skill,Regenerate an additional 0.19 health per second at all times
RecuperateRank8LongDesc,progression,Skill,Regenerate an additional 0.21 health per second at all times
RecuperateRank9LongDesc,progression,Skill,Regenerate an additional 0.23 health per second at all times
RecuperateRank10LongDesc,progression,Skill,Regenerate an additional 0.25 health per second at all times

SuperiorMetabolismName,progression,Skill,Superior Metabolism
SuperiorMetabolismDesc,progression,Skill,Your organism takes it easy. Lose even less food and water from physical exertion.
SuperiorMetabolismRank1Desc,progression,Skill,-3% Food and Water loss
SuperiorMetabolismRank2Desc,progression,Skill,-6% Food and Water loss
SuperiorMetabolismRank3Desc,progression,Skill,-9% Food and Water loss
SuperiorMetabolismRank4Desc,progression,Skill,-12% Food and Water loss
SuperiorMetabolismRank5Desc,progression,Skill,-15% Food and Water loss
SuperiorMetabolismRank6Desc,progression,Skill,-17% Food and Water loss
SuperiorMetabolismRank7Desc,progression,Skill,-19% Food and Water loss
SuperiorMetabolismRank8Desc,progression,Skill,-21% Food and Water loss
SuperiorMetabolismRank9Desc,progression,Skill,-23% Food and Water loss
SuperiorMetabolismRank10Desc,progression,Skill,-25% Food and Water loss
SuperiorMetabolismRank1LongDesc,progression,Skill,Lose 3% less food and water from physical exertion.
SuperiorMetabolismRank2LongDesc,progression,Skill,Lose 6% less food and water from physical exertion.
SuperiorMetabolismRank3LongDesc,progression,Skill,Lose 9% less food and water from physical exertion.
SuperiorMetabolismRank4LongDesc,progression,Skill,Lose 12% less food and water from physical exertion.
SuperiorMetabolismRank5LongDesc,progression,Skill,Lose 15% less food and water from physical exertion.
SuperiorMetabolismRank6LongDesc,progression,Skill,Lose 17% less food and water from physical exertion.
SuperiorMetabolismRank7LongDesc,progression,Skill,Lose 19% less food and water from physical exertion.
SuperiorMetabolismRank8LongDesc,progression,Skill,Lose 21% less food and water from physical exertion.
SuperiorMetabolismRank9LongDesc,progression,Skill,Lose 23% less food and water from physical exertion.
SuperiorMetabolismRank10LongDesc,progression,Skill,Lose 25% less food and water from physical exertion.

MobilityName,progression,Skill,Mobility
MobilityDesc,progression,Skill,Running hundreds and thousands of miles earned you some well conditioned legs. You're now able too move faster independent of the circumstances.
MobilityRank1Desc,progression,Skill,+4% Mobility
MobilityRank2Desc,progression,Skill,+8% Mobility
MobilityRank3Desc,progression,Skill,+12% Mobility
MobilityRank4Desc,progression,Skill,+16% Mobility
MobilityRank5Desc,progression,Skill,+20% Mobility
MobilityRank6Desc,progression,Skill,+22% Mobility
MobilityRank7Desc,progression,Skill,+24% Mobility
MobilityRank8Desc,progression,Skill,+26% Mobility
MobilityRank9Desc,progression,Skill,+28% Mobility
MobilityRank10Desc,progression,Skill,+30% Mobility
MobilityRank1LongDesc,progression,Skill,Increase your mobility by 4%
MobilityRank2LongDesc,progression,Skill,Increase your mobility by 8%
